affiliationid,normalizedname,displayname,university_normalized,University,Country
63855395,missouri western state university,Missouri Western State University,missouri western state university,NA,NA
69552723,university of pretoria,University of Pretoria,university of pretoria,University of Pretoria,South Africa
70160889,mikkeli university of applied sciences,Mikkeli University of Applied Sciences,mikkeli university of applied sciences,NA,NA
81991927,norwegian institute for defence studies,Norwegian Institute for Defence Studies,norwegian institute for defence studies,NA,NA
84494935,yuba college,Yuba College,yuba college,NA,NA
88155538,university of navarra,University of Navarra,university of navarra,University of Navarra,Spain
96478251,hunan institute of technology,Hunan Institute of Technology,hunan institute of technology,NA,NA
106745318,national marine fisheries service,National Marine Fisheries Service,national marine fisheries service,NA,NA
109556086,autoliv,Autoliv,autoliv,NA,NA
111112146,tallinn university of technology,Tallinn University of Technology,tallinn university of technology,NA,NA
114526571,concordia college,Concordia College,concordia college,NA,NA
117222138,abu dhabi university,Abu Dhabi University,abu dhabi university,NA,NA
118292597,national taipei university of technology,National Taipei University of Technology,national taipei university of technology,National Taipei University of Technology,Taiwan
118839592,california state university bakersfield,"California State University, Bakersfield","california state university, bakersfield",NA,NA
134915210,capco,Capco,capco,NA,NA
135288348,public health seattle king county,Public Health – Seattle & King County,public health - seattle & king county,NA,NA
136806742,azerbaijan state oil academy,Azerbaijan State Oil Academy,azerbaijan state oil academy,NA,NA
142822886,asahi university,Asahi University,asahi university,NA,NA
143772088,american college of clinical pharmacology,American College of Clinical Pharmacology,american college of clinical pharmacology,NA,NA
144446963,human genome sequencing center,Human Genome Sequencing Center,human genome sequencing center,NA,NA
144821573,academie des sciences morales et politiques,Académie des Sciences Morales et Politiques,academie des sciences morales et politiques,NA,NA
152333232,national institute of parasitic diseases,National Institute of Parasitic Diseases,national institute of parasitic diseases,NA,NA
157536573,pasteur institute,Pasteur Institute,pasteur institute,NA,NA
158708052,chulalongkorn university,Chulalongkorn University,chulalongkorn university,Chulalongkorn University,Thailand
161088229,william carey university,William Carey University,william carey university,NA,NA
162148367,pontifical catholic university of chile,Pontifical Catholic University of Chile,pontifical catholic university of chile,NA,NA
164555798,morinomiya university of medical sciences,Morinomiya University of Medical Sciences,morinomiya university of medical sciences,NA,NA
164576550,world conservation monitoring centre,World Conservation Monitoring Centre,world conservation monitoring centre,NA,NA
170905427,sirjan university of technology,Sirjan University of Technology,sirjan university of technology,NA,NA
172081054,college of science and technology,College of Science and Technology,college of science and technology,NA,NA
172993857,flir systems,FLIR Systems,flir systems,NA,NA
176660719,sartorius ag,Sartorius AG,sartorius ag,NA,NA
182571209,syrian petroleum company,Syrian Petroleum Company,syrian petroleum company,NA,NA
185571130,al farabi university,Al-Farabi University,al-farabi university,NA,NA
191879574,inha university,Inha University,inha university,Inha University,South Korea
197072244,university of wisconsin waukesha,University of Wisconsin–Waukesha,university of wisconsin-waukesha,NA,NA
200433483,bowen university,Bowen University,bowen university,NA,NA
202539009,ho chi minh university of industry,Ho Chi Minh University of Industry,ho chi minh university of industry,NA,NA
203089679,state university of medan,State University of Medan,state university of medan,NA,NA
204410293,miracosta college,MiraCosta College,miracosta college,NA,NA
205935612,general radio,General Radio,general radio,NA,NA
214196306,norquest college,NorQuest College,norquest college,NA,NA
223464139,linnaeus university,Linnaeus University,linnaeus university,NA,NA
263137965,sree narayana guru institute of science and technology,Sree Narayana Guru Institute of Science and Technology,sree narayana guru institute of science and technology,NA,NA
288679889,medical university of the americas nevis,Medical University of the Americas – Nevis,medical university of the americas - nevis,NA,NA
289109625,wildlife preservation canada,Wildlife Preservation Canada,wildlife preservation canada,NA,NA
307262595,university of belize,University of Belize,university of belize,NA,NA
335773274,ministry of culture and fine arts,Ministry of Culture and Fine Arts,ministry of culture and fine arts,NA,NA
860314941,jgc corporation,JGC CORPORATION,jgc corporation,NA,NA
860964359,croda international,Croda International,croda international,NA,NA
877703402,illinois family institute,Illinois Family Institute,illinois family institute,NA,NA
894557895,european school of management and technology,European School of Management and Technology,european school of management and technology,NA,NA
905918601,clean diesel technologies inc,"Clean Diesel Technologies, Inc.","clean diesel technologies, inc.",NA,NA
916057793,seiu united healthcare workers west,SEIU United Healthcare Workers West,seiu united healthcare workers west,NA,NA
921686565,ziopharm oncology inc,ZIOPHARM ONCOLOGY INC,ziopharm oncology inc,NA,NA
931112556,birla institute of management technology,Birla Institute of Management Technology,birla institute of management technology,NA,NA
1280088453,blue coat systems,Blue Coat Systems,blue coat systems,NA,NA
1281948896,ohio department of natural resources,Ohio Department of Natural Resources,ohio department of natural resources,NA,NA
1291253399,rockwell international,Rockwell International,rockwell international,NA,NA
1303371947,steel dynamics inc,"Steel Dynamics, Inc.","steel dynamics, inc.",NA,NA
1303792202,wavefront technologies,Wavefront Technologies,wavefront technologies,NA,NA
1307352178,institute for creation research,Institute for Creation Research,institute for creation research,NA,NA
1309142525,bethesda softworks,Bethesda Softworks,bethesda softworks,NA,NA
1320343167,ascension health,Ascension Health,ascension health,NA,NA
1332982760,luxembourg income study,Luxembourg Income Study,luxembourg income study,NA,NA
1339394900,office of the attorney general of colombia,Office of the Attorney General of Colombia,office of the attorney general of colombia,NA,NA
1340826022,congressional research service,Congressional Research Service,congressional research service,NA,NA
2799477489,royal cornwall hospital trust,Royal Cornwall Hospital Trust,royal cornwall hospital trust,NA,NA
2799511387,cambodia national malaria center,Cambodia National Malaria Center,cambodia national malaria center,NA,NA
2799570464,government of austria,Government of Austria,government of austria,NA,NA
2799680610,united states army reserve,United States Army Reserve,united states army reserve,NA,NA
2799845439,oakland museum of california,Oakland Museum of California,oakland museum of california,NA,NA
2800302335,yamawaki gakuen junior college,Yamawaki Gakuen Junior College,yamawaki gakuen junior college,NA,NA
2800464760,city literary institute,City Literary Institute,city literary institute,NA,NA
2800467320,tyler junior college,Tyler Junior College,tyler junior college,NA,NA
2800923599,eirgrid ireland,EirGrid (Ireland),eirgrid (ireland),NA,NA
2801016215,northlands college,Northlands College,northlands college,NA,NA
2801038412,society for american music,Society for American Music,society for american music,NA,NA
2801121381,lehigh carbon community college,Lehigh Carbon Community College,lehigh carbon community college,NA,NA
2801244250,brooks institute,Brooks Institute,brooks institute,NA,NA
2801270131,new mexico public education department,New Mexico Public Education Department,new mexico public education department,NA,NA
2801466683,shaikh khalifa medical city,Shaikh Khalifa Medical City,shaikh khalifa medical city,NA,NA
2801645722,nikita botanical gardens,Nikita Botanical Gardens,nikita botanical gardens,NA,NA
2801826529,association of academic physiatrists,Association of Academic Physiatrists,association of academic physiatrists,NA,NA
2801875454,husqvarna sweden,Husqvarna (Sweden),husqvarna (sweden),NA,NA
2801946689,council on library and information resources,Council on Library and Information Resources,council on library and information resources,NA,NA
2802140467,voluntary health services hospital,Voluntary Health Services Hospital,voluntary health services hospital,NA,NA
2802613606,scientific committee on antarctic research,Scientific Committee on Antarctic Research,scientific committee on antarctic research,NA,NA
2802740662,canadian council of professional engineers,Canadian Council of Professional Engineers,canadian council of professional engineers,NA,NA
2802999273,wisconsin institutes for discovery,Wisconsin Institutes for Discovery,wisconsin institutes for discovery,NA,NA
